"Staff ID","Staff Name","Staff Email","Staff Identity Number","Staff Address","Phone Number",Position,Department,Gender
131313,hopinti,hopinti@gmail.com,131313,131313,131313,HOP,"INTI International University & Colleges",Male
444444,wwe,wwe@gmail.com,132000000000,wwehouse,1234567890,HOP,"Swinburne University of Technology",Male
888888,8hop,8hop@gmail.com,888888888888,8888888house,2147483647,HOP,"Swinburne University of Technology",Male
111111,Sam,sam@gmail.com,123,123,123,Lecturer,"Swinburne University of Technology",Male
222222,TestingUser,testinguser@staff.newinti.edu.my,0123456789,"No 30. Jalan Mahuguni 2B/5, Jamu Hill, 44500, Selangor",123456789,Lecturer,"Swinburne University of Technology",Male
333333,Tan,tan@gmail.com,123,123,123,Lecturer,"INTI International University & Colleges",Male
555555,Ong,ong@gmail.com,123,123,123,Lecturer,"Swinburne University of Technology",Male
666666,wqew,wwe@gmail.com,123456799,123,123,Lecturer,"Swinburne University of Technology",Male
999999,SeanNg,seanng333333@gmail.com,0123456799,0123456789,123456789,Lecturer,"Swinburne University of Technology",Male
121212,Innnt,innnt@gmail.com,1212121212,121211212fffff,1212121212,IOAV,"Swinburne University of Technology",Male
000000,adc,adc@gmail.com,666666666666,6houses,2147483647,Admin,"Swinburne University of Technology",Male
